Executavel,Form,TableName,DatabaseName,FieldName,DataSource,DataSet,TrechoSQLouTexto,OperacaoInferida,Confianca
LavFacilLan,,,,,,,"Delete From dbClientesCompData Where (Not CodCli is null) or (Not(CodCli=""""))",consulta,baixa-media
LavFacilLan,,,,,,,"Delete From dbClientesData Where (Not (CodCli is null)) or (Not(CodCli=""""))",consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbCoresData Where (Not (CodCor is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbDefeitoData Where (Not (CodDef is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbMovCabData Where (Not (NumOS is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbMovItemCorData Where (Not (NumOS is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbMovItemData Where (Not (NumOS is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbMovItemDefData Where (Not (NumOS is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbMovItemSerData Where (Not (NumOS is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbNotasData Where (Not (NumNot is null)),consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbNotCompData Where (Not (NumNot is null)),consulta,baixa-media
LavFacilLan,,,,,,,"Delete From dbRolsAbertoData Where (Not (CodCli is null)) or (Not(CodCli=""""))",consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbTabCliData Where (Not (CodCli is null)),consulta,baixa-media
LavFacilLan,,,,,,,"Delete From dbTabProData Where (Not (CodTab is null)) or (Not(CodTab=""""))",consulta,baixa-media
LavFacilLan,,,,,,,"Delete From dbTabProSerData Where (Not (CodTab is null)) or (Not(CodTab=""""))",consulta,baixa-media
LavFacilLan,,,,,,,"DISCONNECT FROM ""%s""",consulta,baixa-media
LavFacilLan,,,,,,,Docked control must have a name%Error removing control from dock tree,consulta,baixa-media
LavFacilLan,,,,,,,"ELSE NULL END END WHEN false THEN CASE c.relkind WHEN 'r' THEN 'TABLE' WHEN 'i' THEN 'INDEX' WHEN 'S' THEN 'SEQUENCE' WHEN 'v' THEN 'VIEW' ELSE NULL END ELSE NULL END AS TABLE_TYPE, d.description AS REMARKS FROM pg_catalog.pg_namespace n, p",consulta,baixa-media
LavFacilLan,,,,,,,"Empty query3Cannot ""open"" a non-select statement. Use ExecQuery",consulta,baixa-media
LavFacilLan,,,,,,,FROM,consulta,baixa-media
LavFacilLan,,,,,,,From,consulta,baixa-media
LavFacilLan,,,,,,,FROM ':,consulta,baixa-media
LavFacilLan,,,,,,,"From """,consulta,baixa-media
LavFacilLan,,,,,,,"From "":",consulta,baixa-media
LavFacilLan,,,,,,,"From """,consulta,baixa-media
LavFacilLan,,,,,,,"From "":",consulta,baixa-media
LavFacilLan,,,,,,,FROM ',consulta,baixa-media
LavFacilLan,,,,,,,"from """,consulta,baixa-media
LavFacilLan,,,,,,,"From "":",consulta,baixa-media
LavFacilLan,,,,,,,From MovCab M Left Join,consulta,baixa-media
LavFacilLan,,,,,,,"If you load database from file, existing memory database will be cleared!",consulta,baixa-media
LavFacilLan,,,,,,,Invalid ImageList Index)Failed to read ImageList data from stream(Failed to write ImageList data to stream,consulta,baixa-media
LavFacilLan,,,,,,,"ISGMT.RDB$FIELD_NAME, I.RDB$INDEX_TYPE, I.RDB$SEGMENT_COUNT, COUNT (DISTINCT P.RDB$PAGE_NUMBER) FROM RDB$INDICES I JOIN RDB$INDEX_SEGMENTS ISGMT ON I.RDB$INDEX_NAME = ISGMT.RDB$INDEX_NAME JOIN RDB$RELATIONS R ON (R.RDB$RELATION_NAME = I.RDB",consulta,baixa-media
LavFacilLan,,,,,,,method not supported$Insufficient data for Content-Length&Error reading from Mime Request Stream,consulta,baixa-media
LavFacilLan,,,,,,,MOrder QuickReport 3.0 Professional or download free updates from our web site,consulta,baixa-media
LavFacilLan,,,,,,,No WSDL or URL property was set in the THTTPRIO component. You must set the WSDL or URL property before invoking the Web ServiceMUnable to retrieve the URL endpoint for Service/Port '%s'/'%s' from WSDL '%s'HDatatype of TypeKind: %s not supp,consulta,baixa-media
LavFacilLan,,,,,,,Not in edit mode-Cannot insert into dataset. (No insert query)%Cannot post. (No update/insert query) Cannot update. (No update query)-Cannot delete from dataset. (No delete query),consulta,baixa-media
LavFacilLan,,,,,,,"o,L.Data,L.Descricao2 as Hora,L.Chave as Sequencia,L.Sequencia as Log,L.Tipo From""",consulta,baixa-media
LavFacilLan,,,,,,,Row buffer is not assigned&Column with index %d is not accessable6Convertion is not possible for column %d from %s to %s4Can not access blob record in column %d with type %s,consulta,baixa-media
LavFacilLan,,,,,,,SELECT,consulta,baixa-media
LavFacilLan,,,,,,,SELECT,consulta,baixa-media
LavFacilLan,,,,,,,"Select M.DatRet, M.HorRet,M.HorRet2,M.Obs, C.NomCli, V.CodVen , V.NomVen",consulta,baixa-media
LavFacilLan,,,,,,,SELECT ',consulta,baixa-media
LavFacilLan,,,,,,,SELECT ''::text AS TABLE_SCHEM ORDER BY TABLE_SCHEM,consulta,baixa-media
LavFacilLan,,,,,,,SELECT @@IDENTITY,consulta,baixa-media
LavFacilLan,,,,,,,select @@rowcount,consulta,baixa-media
LavFacilLan,,,,,,,Select *,consulta,baixa-media
LavFacilLan,,,,,,,Select *,consulta,baixa-media
LavFacilLan,,,,,,,Select *,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbMovitemData Where (NumOS=,consulta,baixa-media
LavFacilLan,,,,,,,Select * From,consulta,baixa-media
LavFacilLan,,,,,,,Select * From,consulta,baixa-media
LavFacilLan,,,,,,,"Select * From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select * From "":",consulta,baixa-media
LavFacilLan,,,,,,,"Select * From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select * From "":",consulta,baixa-media
LavFacilLan,,,,,,,"Select * from ""CliCredito""",consulta,baixa-media
LavFacilLan,,,,,,,Select * from CliContato where CodCli =',consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbCadFPGData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbClientesCompData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,select * from dbClientesData,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbClientesData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbClientesData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbCoresData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbDefeitoData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbMovCabData order by NumOS,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbMovCabData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbMovItemData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbMovItemSerData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbNotasData order by UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbNotCompData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,"Select * From dbParametrosData order by CodSis, CodVar",consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbTabCliData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbTabProData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,Select * From dbTabProSerData Order By UniqueID,consulta,baixa-media
LavFacilLan,,,,,,,SELECT * FROM MensagensSMS where Status = :ParStatus,consulta,baixa-media
LavFacilLan,,,,,,,Select * from movcab,consulta,baixa-media
LavFacilLan,,,,,,,"Select 1 as Quantidade, M.CodCli, M.CodVen,M.ObsRol, M.CodConf, M.Rol, M.CodTab, M.CodTipEnt, M.CodTipSer, M.Cancelado, M.SitRol, M.HorEnt, M.DescontoRol, M.DescontoValor, M.CodUsuario, M.DatLan, M.DataCanc, M.DatEnt, M.DatEntRol, M.NumOS, ",consulta,baixa-media
LavFacilLan,,,,,,,Select a Date,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT a.attname,a.atttypid FROM pg_catalog.pg_attribute a WHERE a.attrelid=%s ORDER BY a.attnum",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT a.RDB$RELATION_NAME, a.RDB$FIELD_NAME, a.RDB$FIELD_POSITION, a.RDB$NULL_FLAG, b. RDB$FIELD_LENGTH, b.RDB$FIELD_SCALE, c.RDB$TYPE_NAME, b.RDB$FIELD_TYPE, b.RDB$FIELD_SUB_TYPE, b.RDB$DESCRIPTION, b.RDB$CHARACTER_LENGTH, b.RDB$FIELD_SCA",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT a.RDB$USER, a.RDB$GRANTOR, a.RDB$PRIVILEGE, a.RDB$GRANT_OPTION, a.RDB$RELATION_NAME FROM RDB$USER_PRIVILEGES a, RDB$TYPES b WHERE a.RDB$OBJECT_TYPE = b.RDB$TYPE AND b.RDB$TYPE_NAME IN ('RELATION', 'VIEW', 'COMPUTED_FIELD', 'FIELD' ) ",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT a.RDB$USER, a.RDB$GRANTOR, a.RDB$PRIVILEGE, a.RDB$GRANT_OPTION, a.RDB$RELATION_NAME, a.RDB$FIELD_NAME FROM RDB$USER_PRIVILEGES a, RDB$TYPES b WHERE a.RDB$OBJECT_TYPE = b.RDB$TYPE AND",consulta,baixa-media
LavFacilLan,,,,,,,Select AllLFatal error: Cannot create application object in a shared object or library.>Fatal error: Cannot create more than one TApplication instance,consulta,baixa-media
LavFacilLan,,,,,,,select c.* from syscolumns c inner join sysobjects o on (o.id = c.id) where o.name = %s and c.number = %s order by colid,consulta,baixa-media
LavFacilLan,,,,,,,"Select C.CodPacote, C.DesPacote, C.Cancelado, P.ValTotPac",consulta,baixa-media
LavFacilLan,,,,,,,"select c.colid, c.name, c.type, c.prec, c.scale, c.colstat, c.status, c.iscomputed from syscolumns c inner join sysobjects o on (o.id = c.id) where o.name = %s order by colid",consulta,baixa-media
LavFacilLan,,,,,,,"select c.colid, c.name, c.type, c.prec, c.scale, c.status from syscolumns c inner join sysobjects o on (o.id = c.id) where o.name = %s order by colid",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT c.host, c.db, t.grantor, c.user, c.table_name, c.column_name, c.column_priv FROM mysql.columns_priv c, mysql.tables_priv t WHERE c.host=t.host AND c.db=t.db AND c.table_name=t.table_name AND c.db='%s' AND c.table_name='%s' AND c.colu",consulta,baixa-media
LavFacilLan,,,,,,,"Select C.NumFat, C.NumDup, C.NumNot,",consulta,baixa-media
LavFacilLan,,,,,,,"Select CodCenCus as Codigo, DesCenCus as Descricao From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select CodCla as Codigo, DesCla as Descricao From """,consulta,baixa-media
LavFacilLan,,,,,,,Select CodCli as C,consulta,baixa-media
LavFacilLan,,,,,,,"Select CodFil as Codigo, NomFil as Nome From",consulta,baixa-media
LavFacilLan,,,,,,,"Select CodFor as Codigo, NomFor as Nome From",consulta,baixa-media
LavFacilLan,,,,,,,"Select CodFor, NomFor From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select CodFpg as Codigo, DesFpg as Descricao",consulta,baixa-media
LavFacilLan,,,,,,,"Select CodigoTPV as Codigo, DescTPV as Descricao, Obs",consulta,baixa-media
LavFacilLan,,,,,,,"Select CodPro, DesPro, DesProTab From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select CodSerTer, DatLan From",consulta,baixa-media
LavFacilLan,,,,,,,"Select CodSubC as Codigo, DesSubC as Descricao From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select CodUsuario as Codigo, NomUsuario as Nome From",consulta,baixa-media
LavFacilLan,,,,,,,"Select CodVen as Codigo, NomVen as Nome From",consulta,baixa-media
LavFacilLan,,,,,,,"Select Count(DatEnt) as Total From """,consulta,baixa-media
LavFacilLan,,,,,,,Select Count(Rol) as TotRol From,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT D.CodCli, D.Baixa, D.Cancelado, D.DatVen, D.ValDup, D.NumFat",consulta,baixa-media
LavFacilLan,,,,,,,"Select D.DatDoa, D.ValDoa from """,consulta,baixa-media
LavFacilLan,,,,,,,Select dataset,consulta,baixa-media
LavFacilLan,,,,,,,SELECT datname AS TABLE_CAT FROM pg_catalog.pg_database ORDER BY TABLE_CAT,consulta,baixa-media
LavFacilLan,,,,,,,SELECT datname AS TABLE_CAT FROM pg_database ORDER BY TABLE_CAT,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT DISTINCT (M.CODCLI),C.* FROM """,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT DISTINCT a.RDB$RELATION_NAME, b.RDB$SYSTEM_FLAG, b.RDB$VIEW_CONTEXT, a.RDB$VIEW_SOURCE FROM RDB$RELATIONS a JOIN RDB$RELATION_FIELDS b ON a.RDB$RELATION_NAME=b.RDB$RELATION_NAME",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT DISTINCT n1.nspname as pnspname,n2.nspname as fnspname,",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT DISTINCT NULL::text as pnspname, NULL::text as fnspname,",consulta,baixa-media
LavFacilLan,,,,,,,"select E.CodCli, P.CodPro, P.DesPro, E.Quant_Prev, E.Quant_Real",consulta,baixa-media
LavFacilLan,,,,,,,"Select FisJur ,Count(FisJur) AS Fisica From """,consulta,baixa-media
LavFacilLan,,,,,,,Select function,consulta,baixa-media
LavFacilLan,,,,,,,Select GetDate(),consulta,baixa-media
LavFacilLan,,,,,,,Select GruSerLav As Grupo From,consulta,baixa-media
LavFacilLan,,,,,,,"Select GruSerLav From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select GruVen as Codigo, DesGruVen as Grupo",consulta,baixa-media
LavFacilLan,,,,,,,"Select GS.DesGruSerLav as Grupo, Sum(MI.Quantidade) as Quantidade, Sum(MI.PreFinal) as Valor",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT host,db,table_name,grantor,user,table_priv from mysql.tables_priv WHERE db='%s' AND table_name LIKE '%s'",consulta,baixa-media
LavFacilLan,,,,,,,"Select I.CodPro as Produto, P.DesPro as Descri",consulta,baixa-media
LavFacilLan,,,,,,,"Select I.Rol, I.CodPro, I.SeqPro, I.CodSerLav,",consulta,baixa-media
LavFacilLan,,,,,,,"Select L.CodLoc as Local, L.Rol, p.DesPro as Descri",consulta,baixa-media
LavFacilLan,,,,,,,"Select L.CodVen as Vendedor,L.Descricao1 as Descri",consulta,baixa-media
LavFacilLan,,,,,,,SELECT LAST_INSERT_ID(),consulta,baixa-media
LavFacilLan,,,,,,,SELECT LAST_INSERT_ROWID(),consulta,baixa-media
LavFacilLan,,,,,,,"Select M.CodCli,",consulta,baixa-media
LavFacilLan,,,,,,,"Select M.CodCli, M.CodVen,M.ObsRol, M.CodConf, M.Rol, M.CodTab, M.CodTipEnt, M.CodTipSer, M.Cancelado, M.SitRol, M.HorEnt, M.DescontoRol, M.DescontoValor, M.CodUsuario, M.DatLan, M.DataCanc, M.DatEnt, M.DatEntRol, M.NumOS, M.Unidade, M.NumG",consulta,baixa-media
LavFacilLan,,,,,,,"Select M.CodPacote, M.TotValPec, M.TotValLcto, M.DatFim, M.GruPro From",consulta,baixa-media
LavFacilLan,,,,,,,"Select M.Numero, M.DatEnv, M.HorEnv, M.Status, M.Erro, M.CodErro, M.Mensagem, M.Tipo, M.Protocolo from """,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT M.Rol, M.CodCli, M.Cancelado, M.DatLan, M.ValTot, M.DescontoRol, M.DescontoValor, TotPecas, M.NumOs, M.Posicao, M.NumNot, M.NumNotAdi",consulta,baixa-media
LavFacilLan,,,,,,,"Select M.ROl, M.CodPro, M.SeqPro, M.Quantidade",consulta,baixa-media
LavFacilLan,,,,,,,"Select M.Rol, M.DatLan, M.CodCli, D.CodDesc, D.Desconto",consulta,baixa-media
LavFacilLan,,,,,,,"Select M.Rol,M.Cancelado,I.CodPro,I.SeqPro,I.Identif,I.Rol",consulta,baixa-media
LavFacilLan,,,,,,,"Select M.ValTot, M.DescontoRol, M.DescontoValor, M.NumNot, M.NumNotAdi,N.ValBasNot,",consulta,baixa-media
LavFacilLan,,,,,,,Select MAX(,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT n.nspname,c.relname,a.attname,a.atttypid,a.attnotnull,a.atttypmod,a.attlen,a.attnum,def.adsrc,dsc.description FROM pg_catalog.pg_namespace n JOIN pg_catalog.pg_class c ON (c.relnamespace = n.oid) JOIN pg_catalog.pg_attribute a ON (a.",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT n.nspname,c.relname,u.usename,c.relacl FROM pg_catalog.pg_namespace n, pg_catalog.pg_class c, pg_catalog.pg_user u WHERE c.relnamespace = n.oid AND u.usesysid = c.relowner AND c.relkind = 'r'",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT n.nspname,c.relname,u.usename,c.relacl,a.attname FROM pg_catalog.pg_namespace n, pg_catalog.pg_class c, pg_catalog.pg_user u, pg_catalog.pg_attribute a WHERE c.relnamespace = n.oid AND u.usesysid = c.relowner AND c.oid = a.attrelid A",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT n.nspname,p.proname,p.prorettype,p.proargtypes,t.typtype,t.typrelid FROM pg_catalog.pg_proc p, pg_catalog.pg_namespace n, pg_catalog.pg_type t WHERE p.pronamespace=n.oid AND p.prorettype=t.oid",consulta,baixa-media
LavFacilLan,,,,,,,select name as TABLE_OWNER from sysusers where islogin = 1,consulta,baixa-media
LavFacilLan,,,,,,,SELECT nspname AS TABLE_SCHEM FROM pg_catalog.pg_namespace WHERE nspname <> 'pg_toast' AND nspname NOT LIKE 'pg\\_temp\\_%' ORDER BY TABLE_SCHEM,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS nspname,p.proname,p.prorettype,p.proargtypes,t.typtype,t.typrelid FROM pg_proc p, pg_type t WHERE p.prorettype=t.oid AND p.proname LIKE '",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS PROCEDURE_CAT, n.nspname AS PROCEDURE_SCHEM, p.proname AS PROCEDURE_NAME, NULL AS RESERVED1, NULL AS RESERVED2, NULL AS RESERVED3, d.description AS REMARKS,",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS PROCEDURE_CAT, NULL AS PROCEDURE_SCHEM, p.proname AS PROCEDURE_NAME, NULL AS RESERVED1, NULL AS RESERVED2, NULL AS RESERVED3, d.description AS REMARKS,",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS PROCEDURE_CAT, NULL AS PROCEDURE_SCHEM, p.proname AS PROCEDURE_NAME, NULL AS RESERVED1, NULL AS RESERVED2, NULL AS RESERVED3, NULL AS REMARKS,",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, A.OWNER AS TABLE_SCHEM, A.TABLE_NAME, B.COLUMN_NAME, B.COLUMN_POSITION AS KEY_SEQ, A.INDEX_NAME AS PK_NAME FROM ALL_INDEXES A, ALL_IND_COLUMNS B WHERE A.OWNER=B.INDEX_OWNER AND A.INDEX_NAME=B.INDEX_NAME AND A.TABLE",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, n.nspname AS TABLE_SCHEM,",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, NULL AS TABLE_SCHEM,",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, NULL AS TABLE_SCHEM, c.relname AS TABLE_NAME,",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, OWNER AS TABLE_SCHEM, SYNONYM_NAME AS TABLE_NAME, 'SYNONYM' AS TABLE_TYPE, NULL AS REMARKS FROM SYS.ALL_SYNONYMS WHERE OWNER LIKE '",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, OWNER AS TABLE_SCHEM, TABLE_NAME, 'TABLE' AS TABLE_TYPE, NULL AS REMARKS FROM SYS.ALL_TABLES WHERE OWNER LIKE '",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, OWNER AS TABLE_SCHEM, VIEW_NAME AS TABLE_NAME, 'VIEW' AS TABLE_TYPE, NULL AS REMARKS FROM SYS.ALL_VIEWS WHERE OWNER LIKE '",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, SEQUENCE_OWNER AS TABLE_SCHEM, SEQUENCE_NAME AS TABLE_NAME, 'SEQUENCE' AS TABLE_TYPE, NULL AS REMARKS FROM SYS.ALL_SEQUENCES WHERE SEQUENCE_OWNER LIKE '",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, TABLE_SCHEMA AS TABLE_SCHEM, TABLE_NAME, COLUMN_NAME, GRANTOR, GRANTEE, PRIVILEGE, GRANTABLE AS IS_GRANTABLE FROM SYS.ALL_COL_PRIVS WHERE",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, TABLE_SCHEMA AS TABLE_SCHEM, TABLE_NAME, GRANTOR, GRANTEE, PRIVILEGE, GRANTABLE AS IS_GRANTABLE FROM SYS.ALL_TAB_PRIVS WHERE TABLE_SCHEMA LIKE '",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL, A.OWNER, A.TABLE_NAME, A.UNIQUENESS, NULL, A.INDEX_NAME, 3, B.COLUMN_POSITION, B.COLUMN_NAME, B.DESCEND, 0, 0, NULL FROM ALL_INDEXES A, ALL_IND_COLUMNS B WHERE A.OWNER=B.INDEX_OWNER AND A.INDEX_NAME=B.INDEX_NAME AND A.TABLE_OWN",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL, OWNER, TABLE_NAME, COLUMN_NAME, NULL, DATA_TYPE, DATA_LENGTH, NULL, DATA_PRECISION, DATA_SCALE, NULLABLE, NULL, DATA_DEFAULT, NULL, NULL, NULL, COLUMN_ID, NULLABLE FROM SYS.ALL_TAB_COLUMNS WHERE OWNER LIKE '",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL::text AS nspname,c.relname,a.attname,a.atttypid,a.attnotnull,a.atttypmod,a.attlen,a.attnum,def.adsrc,dsc.description FROM pg_class c JOIN pg_attribute a ON (a.attrelid=c.oid) LEFT JOIN pg_attrdef def ON (a.attrelid=def.adrelid A",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL::text AS nspname,c.relname,a.attname,a.atttypid,a.attnotnull,a.atttypmod,a.attlen,a.attnum,def.adsrc,dsc.description FROM pg_class c JOIN pg_attribute a ON (a.attrelid=c.oid) LEFT JOIN pg_attrdef def ON (a.attrelid=def.adrelid A",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL::text AS nspname,c.relname,a.attname,a.atttypid,a.attnotnull,a.atttypmod,a.attlen,a.attnum,NULL AS adsrc,NULL AS description FROM pg_class c, pg_attribute a WHERE a.attrelid=c.oid AND a.attnum > 0",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL::text AS nspname,c.relname,u.usename,c.relacl FROM pg_class c, pg_user u WHERE u.usesysid = c.relowner AND c.relkind = 'r'",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL::text AS nspname,c.relname,u.usename,c.relacl,a.attname FROM pg_class c, pg_user u,pg_attribute a WHERE u.usesysid = c.relowner AND c.oid = a.attrelid AND a.attnum > 0 AND c.relkind = 'r'",consulta,baixa-media
LavFacilLan,,,,,,,"Select NumNot, DatEmi, Obs, ValNot From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select NumNot,ValCre from ""CliCredito"" Where NumNot='",consulta,baixa-media
LavFacilLan,,,,,,,"Select O.ROl, O.CodPro, O.SeqPro, O.Quantidade",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT oid, typname FROM pg_type WHERE oid<10000",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT oid, typname, typbasetype FROM pg_type WHERE oid<10000 OR typbasetype<>0 ORDER BY oid",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT P.CodPro, M.CodPro, M.CodCli, M.CodPro, M.Quant_Real, M.Quant_Prev, M.MedLan, P.DesPro",consulta,baixa-media
LavFacilLan,,,,,,,"Select P.DesPro,P.GruPro,I.Rol,I.CodPro,I.CodLoc,I.Obs,I.FatPre01,",consulta,baixa-media
LavFacilLan,,,,,,,SELECT RDB$FIELD_NAME FROM RDB$RELATION_FIELDS WHERE RDB$RELATION_NAME = ',consulta,baixa-media
LavFacilLan,,,,,,,"SELECT RDB$PROCEDURE_NAME, RDB$PROCEDURE_OUTPUTS, RDB$DESCRIPTION FROM RDB$PROCEDURES",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT RELC_PRIM.RDB$RELATION_NAME, IS_PRIM.RDB$FIELD_NAME, RELC_FOR.RDB$RELATION_NAME, IS_FOR.RDB$FIELD_NAME, IS_FOR.RDB$FIELD_POSITION, REFC_PRIM.RDB$UPDATE_RULE, REFC_PRIM.RDB$DELETE_RULE, RELC_FOR.RDB$CONSTRAINT_NAME, RELC_PRIM.RDB$CONS",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT rol as RolOrc, DatLan, ValTot, ObsRol as Descricao FROM",consulta,baixa-media
LavFacilLan,,,,,,,"Select Rol, NumNot, NumNotAdi",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT Rol, ValTot, SitRol, DescontoRol, DescontoValor",consulta,baixa-media
LavFacilLan,,,,,,,Select S.DesSerLav as Servi,consulta,baixa-media
LavFacilLan,,,,,,,"Select Seq, Data, Valor, Cancelado From",consulta,baixa-media
LavFacilLan,,,,,,,"Select SeqFin as Seq, Histor, TipLan as Tipo From",consulta,baixa-media
LavFacilLan,,,,,,,"Select SeqRetira, CodCli, DatRet, HorRet, NomCli, Status, Roteiro",consulta,baixa-media
LavFacilLan,,,,,,,"Select sigla_UF From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select Sum(I.Quantidade) as TotQde From """,consulta,baixa-media
LavFacilLan,,,,,,,Select Sum(ValNot) as Total From,consulta,baixa-media
LavFacilLan,,,,,,,"Select Sum(ValTot) as Total From """,consulta,baixa-media
LavFacilLan,,,,,,,"Select Sum(ValTot) as Total From "":",consulta,baixa-media
LavFacilLan,,,,,,,"Select T.CodTab,T.CodPro,T.CodSerLav,S.CodSerLav,S.DesSerLav,T.PreUniSer,S.GruSerLav",consulta,baixa-media
LavFacilLan,,,,,,,Select UniqueID as Registro From dbMovCabData,consulta,baixa-media
LavFacilLan,,,,,,,SELECT USERNAME AS TABLE_SCHEM FROM SYS.ALL_USERS,consulta,baixa-media
LavFacilLan,,,,,,,Select variable,consulta,baixa-media
LavFacilLan,,,,,,,SELECT VERSION(),consulta,baixa-media
LavFacilLan,,,,,,,"SELECT version(), CASE WHEN pg_encoding_to_char(1)='SQL_ASCII' THEN 'UNKNOWN' ELSE getdatabaseencoding() END",consulta,baixa-media
LavFacilLan,,,,,,,SHOW COLUMNS FROM %s.%s LIKE '%s',consulta,baixa-media
LavFacilLan,,,,,,,SHOW INDEX FROM %s.%s,consulta,baixa-media
LavFacilLan,,,,,,,SHOW KEYS FROM %s.%s,consulta,baixa-media
LavFacilLan,,,,,,,SHOW TABLE STATUS FROM %s,consulta,baixa-media
LavFacilLan,,,,,,,SHOW TABLE STATUS FROM %s LIKE '%s',consulta,baixa-media
LavFacilLan,,,,,,,SHOW TABLES FROM %s LIKE '%s',consulta,baixa-media
LavFacilLan,,,,,,,"The credentials supplied were not complete, and could not be verified. Additional information can be returned from the context.4The context data must be renegotiated with the peer.'The target principal name is incorrect.:There is no LSA mod",consulta,baixa-media
